id;jhi_key;jhi_value;enabled;description
1;Pennsylvania dynamic bandwidth;navigate Oklahoma;false;National
2;supply-chains;Tools;false;Handmade Wooden Cheese Fresh
3;input Naira;Markets;false;asymmetric EXE
4;web services;Industrial Designer Incredible Fresh Car;true;Agent Gorgeous Rubber Chicken Associate
5;Tuna magenta;Wells;true;Maryland Legacy Unbranded Plastic Chips
6;Unbranded Cotton Table Generic B2B;olive;false;one-to-one Indiana
7;holistic;Architect;true;Falkland Islands (Malvinas)
8;schemas;Pound Sterling Keyboard;true;parsing
9;models New Mexico District;Accountability;true;Rustic Steel Shirt drive
10;Ways Liaison engage;disintermediate Assistant generating;true;Bypass
